Índice,Fecha,Equipo Local,Resultado,Equipo Visitante,Marcador,Tipo,Cómo,Competición,Camiseta,Minuto,Video
351,01-09-2013,Valencia,2-3,FC Barcelona,0-1,,Pie izquierdo,La Liga,10,11,
350,18-08-2013,FC Barcelona,7-0,Levante,5-0,Penal,Pie izquierdo,La Liga,10,42,
349,18-08-2013,FC Barcelona,7-0,Levante,2-0,,Pie izquierdo,La Liga,10,12,
348,15-06-2013,Guatemala,0-4,Argentina,0-4,Gol de campo,Pie izquierdo,Amistoso Internacional,10,49,
347,15-06-2013,Guatemala,0-4,Argentina,0-3,Penal,Pie izquierdo,Amistoso Internacional,10,40,
346,15-06-2013,Guatemala,0-4,Argentina,0-1,Gol de campo,Pie izquierdo,Amistoso Internacional,10,15,
345,05-05-2013,FC Barcelona,4-2,Real Betis,4-2,,Pie izquierdo,La Liga,10,71,
344,05-05-2013,FC Barcelona,4-2,Real Betis,3-2,Tiro libre,Pie izquierdo,La Liga,10,60,
343,27-04-2013,Athletic de Bilbao,2-2,FC Barcelona,1-1,Solo run,Pie izquierdo,La Liga,10,67,
342,02-04-2013,Paris Saint-Germain,2-2,FC Barcelona,0-1,,Pie izquierdo,UEFA Champions League,10,38,
341,30-03-2013,Celta de Vigo,2-2,FC Barcelona,1-2,,Pie izquierdo,La Liga,10,73,
340,23-03-2013,Argentina,3-0,Venezuela,2-0,Penal,Pie izquierdo,WCQWorld Cup 2014 Qualification,10,44,
339,17-03-2013,FC Barcelona,3-1,Rayo Vallecano,3-0,,Pie izquierdo,La Liga,10,57,
338,17-03-2013,FC Barcelona,3-1,Rayo Vallecano,2-0,,Pie izquierdo,La Liga,10,40,
337,12-03-2013,FC Barcelona,4-0,AC Milan,2-0,,Pie izquierdo,UEFA Champions League,10,39,
336,12-03-2013,FC Barcelona,4-0,AC Milan,1-0,,Pie izquierdo,UEFA Champions League,10,5,
335,09-03-2013,FC Barcelona,2-0,Deportivo La Coruña,2-0,,Pie izquierdo,La Liga,10,88,
334,02-03-2013,Real Madrid,2-1,FC Barcelona,1-1,,Pie izquierdo,La Liga,10,18,
333,23-02-2013,FC Barcelona,2-1,Sevilla,2-1,,Pie izquierdo,La Liga,10,60,
332,16-02-2013,Granada,1-2,FC Barcelona,1-2,Tiro libre,Pie izquierdo,La Liga,10,73,
331,16-02-2013,Granada,1-2,FC Barcelona,1-1,Rebote,Pie derecho,La Liga,10,50,
